2026-03-01 10:47:47 | INFO | laptopguardian | sample cpu=3.9 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:52 | INFO | laptopguardian | sample cpu=5.9 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:57 | INFO | laptopguardian | sample cpu=7.4 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:02 | INFO | laptopguardian | sample cpu=3.8 ram=81.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:07 | INFO | laptopguardian | sample cpu=9.0 ram=81.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:13 | INFO | laptopguardian | sample cpu=4.2 ram=81.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:18 | INFO | laptopguardian | sample cpu=2.7 ram=81.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:23 | INFO | laptopguardian | sample cpu=3.1 ram=81.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:28 | INFO | laptopguardian | sample cpu=5.3 ram=80.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:33 | INFO | laptopguardian | sample cpu=2.3 ram=80.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:38 | INFO | laptopguardian | sample cpu=3.2 ram=80.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:43 | INFO | laptopguardian | sample cpu=9.4 ram=80.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:49 | INFO | laptopguardian | sample cpu=3.1 ram=80.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:54 | INFO | laptopguardian | sample cpu=3.2 ram=80.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:48:59 | INFO | laptopguardian | sample cpu=3.6 ram=80.5 temp=-1.0 risk=0 (normal)
